name,set,google_search_url,Ungraded,Grade_9,Grade_10,final_url
Onix-GX,Hidden Fates,https://www.google.com/search?q=Onix-GX Hidden Fates site:pricecharting.com,2.1,14.41,30,https://www.pricecharting.com/game/pokemon-hidden-fates/onix-gx-36
Mawile,Cosmic Eclipse,https://www.google.com/search?q=Mawile Cosmic Eclipse site:pricecharting.com,1.3,13.07,35.23,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/mawile-140
Umbreon,Majestic Dawn,https://www.google.com/search?q=Umbreon Majestic Dawn site:pricecharting.com,10.99,89.99,489.62,https://www.pricecharting.com/game/pokemon-majestic-dawn/umbreon-32
Clefable,Hidden Fates,https://www.google.com/search?q=Clefable Hidden Fates site:pricecharting.com,1.45,11,13,https://www.pricecharting.com/game/pokemon-hidden-fates/clefable-40
Staryu,151,https://www.google.com/search?q=Staryu 151 site:pricecharting.com,0.99,4.99,34.18,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/staryu-120
Charmeleon,151,https://www.google.com/search?q=Charmeleon 151 site:pricecharting.com,32,43,207.99,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/charmeleon-169
Raichu,Evolving Skies,https://www.google.com/search?q=Raichu Evolving Skies site:pricecharting.com,1.57,12.02,42,https://www.pricecharting.com/game/pokemon-evolving-skies/raichu-50
Flareon,Cosmic Eclipse,https://www.google.com/search?q=Flareon Cosmic Eclipse site:pricecharting.com,1.83,14.33,50.94,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/flareon-25
Butterfree,Jungle,https://www.google.com/search?q=Butterfree Jungle site:pricecharting.com,1.56,20.49,55.31,https://www.pricecharting.com/game/pokemon-jungle/butterfree-33
Pikachu,Jungle,https://www.google.com/search?q=Pikachu Jungle site:pricecharting.com,2.52,26.45,100,https://www.pricecharting.com/game/pokemon-jungle/pikachu-60
Audino,Boundaries Crossed,https://www.google.com/search?q=Audino Boundaries Crossed site:pricecharting.com,1.89,,,https://www.pricecharting.com/game/pokemon-boundaries-crossed/audino-reverse-holo-126
Teddiursa,Evolving Skies,https://www.google.com/search?q=Teddiursa Evolving Skies site:pricecharting.com,1.15,12.44,34.87,https://www.pricecharting.com/game/pokemon-evolving-skies/teddiursa-126
Totodile,Neo Genesis,https://www.google.com/search?q=Totodile Neo Genesis site:pricecharting.com,2.03,19.26,69.48,https://www.pricecharting.com/game/pokemon-neo-genesis/totodile-80
Venonat,151,https://www.google.com/search?q=Venonat 151 site:pricecharting.com,1.72,12.62,29,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/venonat-reverse-holo-48
Weezing,Hidden Fates,https://www.google.com/search?q=Weezing Hidden Fates site:pricecharting.com,1.85,38.15,39.38,https://www.pricecharting.com/game/pokemon-hidden-fates/weezing-29
Herdier,Boundaries Crossed,https://www.google.com/search?q=Herdier Boundaries Crossed site:pricecharting.com,2.24,,,https://www.pricecharting.com/game/pokemon-boundaries-crossed/herdier-reverse-holo-121
Flareon VMAX,Evolving Skies,https://www.google.com/search?q=Flareon VMAX Evolving Skies site:pricecharting.com,7.74,20.37,50,https://www.pricecharting.com/game/pokemon-evolving-skies/flareon-vmax-18
Swoobat,Boundaries Crossed,https://www.google.com/search?q=Swoobat Boundaries Crossed site:pricecharting.com,1.75,,,https://www.pricecharting.com/game/pokemon-boundaries-crossed/swoobat-reverse-holo-71
